#OTU ID	Cd11	Cd21	CG11	CG21	Cr11	Cr21	Cu11	Cu21	oh11	oh21	PAP11	PAP21	PNP11	PNP21	Seed
ASV_54	3	17	22	298	8	29	0	0	13	58	0	0	95	4562	52
ASV_572	3	0	0	0	0	0	0	0	10	2	0	0	30	31	0
ASV_1138	2	0	0	5	0	0	0	0	0	1	0	0	0	0	3
ASV_477	1	0	57	24	1	0	0	0	2	16	0	0	0	0	3
ASV_740	2	0	0	0	0	4	0	0	0	1	0	0	46	10	3
ASV_122	2	7	0	3	0	0	0	0	0	1	0	0	1377	2	0
ASV_752	2	0	2	0	0	3	0	0	0	9	0	0	0	1	23
ASV_633	2	0	16	9	0	0	0	0	6	6	0	1	3	0	8
ASV_573	1	0	1	48	7	0	0	0	1	6	0	0	0	0	0
ASV_307	1	2	0	0	0	0	0	0	0	0	0	0	34	192	0
ASV_1033	2	0	1	0	0	0	0	0	10	0	0	0	0	0	0
ASV_275	1	0	2	0	7	7	2	0	3	0	0	0	0	1	4
ASV_718	2	0	1	0	0	0	0	0	9	3	0	0	0	0	34
ASV_792	1	0	5	4	0	0	0	0	5	6	0	0	0	0	24
ASV_262	2	0	49	0	2	0	0	0	88	8	1	0	3	0	190
ASV_442	2	0	0	0	0	0	0	0	0	1	0	0	2	0	1
ASV_614	1	0	3	21	14	35	0	0	2	3	0	0	0	0	1
ASV_61	1	0	61	1	0	0	0	0	5	0	2	1	0	0	3685
ASV_826	1	0	0	0	0	0	0	0	4	0	0	0	0	0	20
ASV_467	2	0	4	0	0	0	0	0	38	7	0	0	6	0	53
ASV_353	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV_845	1	0	1	0	0	1	0	0	3	0	2	1	1	0	16
ASV_1152	1	0	1	0	0	0	0	0	0	0	0	0	1	0	14
ASV_92	1	0	119	119	839	855	0	0	51	231	1	0	0	1	14
ASV_855	1	0	0	0	0	1	0	0	0	4	0	0	0	0	1
ASV_870	2	0	3	3	0	0	0	0	1	0	1	1	4	0	9
ASV_330	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_288	1	1	26	10	1	0	0	0	84	43	0	0	45	25	47
ASV_966	2	0	0	0	0	0	0	0	0	0	0	0	0	0	16
ASV_223	1	0	111	125	12	0	0	0	42	162	0	0	0	0	2
