category	heavy_metal	heavy_metal	heavy_metal	organic	organic	organic
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_11187|s_midas_s_22420	    0	    0	    0	  83	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_11689|s_midas_s_11926	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_12471|s_midas_s_12471	    0	    0	    0	  10	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_13168|s_midas_s_32408	    0	    0	    0	   5	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_1851|s_midas_s_17459	    0	    0	    0	 200	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_26505|s_midas_s_26505	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_26505|s_midas_s_48116	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_45860	    0	    0	    0	  37	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_53517|s_midas_s_53517	    0	    0	    0	  33	    0	  26
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae	    0	    0	    0	   0	    0	  28
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Aurantisolimonas|s_midas_s_21921	    4	   39	    0	  31	    0	   3
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Aurantisolimonas|s_midas_s_4709	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Dinghuibacter|s_midas_s_35549	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum	    0	    3	    0	   0	    0	   5
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum|s_midas_s_13996	    0	    0	    0	   0	    0	  24
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum|s_midas_s_28423	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum|s_midas_s_57929	    0	    0	    0	   8	    0	   6
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum|s_midas_s_59613	    0	    0	    0	   0	    0	  33
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter	  179	    1	    0	 860	    0	  39
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_10851	    0	    1	    0	  80	    0	2686
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_11	    0	    0	    0	   0	    0	 425
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_12340	    0	    0	    0	   0	    0	  10
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_1520	    0	 2170	    0	   7	    0	   2
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_18387	    0	    0	    0	   0	    0	 335
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_20584	    0	    9	    0	   4	    0	 344
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_29117	    2	   36	    0	 991	    0	 159
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_29663	    0	    0	    0	   2	    0	   4
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_31003	    0	    0	    0	   0	    0	  22
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_5352	    2	    0	    0	  13	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_64004	    0	    0	    0	   0	    0	  39
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Flavihumibacter|s_Flavihumibacter_cheonanensis	   33	   26	    6	   0	    0	 113
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Flavitalea|s_midas_s_61428	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Lacibacter|s_midas_s_26863	   10	    0	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Niabella|s_midas_s_67161	    0	    0	    0	   0	    0	  31
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Sediminibacterium	    0	    0	    0	   8	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Sediminibacterium|s_Sediminibacterium_salmoneum	 9944	 2029	    6	  18	    0	 365
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas	   43	  172	    0	2509	   54	2133
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_12954	    4	    0	    0	   3	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_26468	    0	    2	    0	  28	    0	 116
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_38034	    0	    0	    0	 340	    0	   4
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_4563	    1	    0	    0	   3	    0	  30
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_78751	    0	  628	    0	   0	    0	   1
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_16865	    0	   10	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_23012	    0	   13	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_32850	    0	    1	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_50502	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_75466	    0	    3	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_1178|s_midas_s_1178	    3	    0	    0	  96	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_15446|s_midas_s_15446	    0	    0	    0	   0	    0	 522
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_679|s_midas_s_24080	    0	    0	    0	   0	    0	 473
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_9628	    0	    0	    0	   1	    0	  16
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae	    0	    0	    0	   1	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_Haliscomenobacter|s_midas_s_89821	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_Phaeodactylibacter	    0	    0	    0	   4	    0	  14
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_Phaeodactylibacter|s_midas_s_14188	    0	    0	    0	   0	    0	  15
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_midas_g_1226|s_midas_s_13139	    0	    0	    0	  16	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_midas_g_1409|s_midas_s_13530	    0	    0	    0	   2	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_midas_g_1409|s_midas_s_21140	    0	    0	    0	  72	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_midas_g_22069|s_midas_s_22069	    0	    0	    0	   0	    0	   0
